person_id,first_seen,last_seen,total_time,status,total_time_minutes
6,0.7,20.15,19.45,exited,0.32416666666666666
18,15.2,20.15,4.949999999999999,exited,0.08249999999999999
10,9.65,11.8,2.1500000000000004,exited,0.03583333333333334
13,9.8,11.65,1.8499999999999996,exited,0.030833333333333327
24,18.55,20.15,1.5999999999999979,exited,0.02666666666666663
22,17.0,18.45,1.4499999999999993,exited,0.024166666666666656
